path,line,class,bases,nested_config,typed_forward,imports_team_gm,imports_engine,status
src/foldforge/models/af3/ported/alphafold3.py,24,Evoformer,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/alphafold3.py,250,AlphaFold3,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/fastnn/layer_norm.py,71,LayerNormTritonFunc,torch.autograd.Function,False,False,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/fastnn/layer_norm.py,100,LayerNorm,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/atom_cross_attention.py,38,AtomCrossAttEncoder,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/atom_cross_attention.py,364,AtomCrossAttDecoder,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/attention.py,19,GridSelfAttention,nn.Module,False,False,False,False,shared candidate; upstream composition/equation remains
src/foldforge/models/af3/ported/nn/attention.py,81,MSAAttention,nn.Module,False,False,False,False,shared candidate; upstream composition/equation remains
src/foldforge/models/af3/ported/nn/diffusion_head.py,27,FourierEmbeddings,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/diffusion_head.py,90,DiffusionHead,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/diffusion_transformer.py,24,AdaptiveLayerNorm,nn.Module,False,True,True,False,conditioned instances converted; unconditioned norm retained
src/foldforge/models/af3/ported/nn/diffusion_transformer.py,64,AdaLNZero,nn.Module,False,True,True,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/diffusion_transformer.py,95,DiffusionTransition,nn.Module,False,True,True,False,conditioned instances converted to engine after strict loading
src/foldforge/models/af3/ported/nn/diffusion_transformer.py,126,SelfAttention,nn.Module,False,True,True,False,shared candidate; upstream composition/equation remains
src/foldforge/models/af3/ported/nn/diffusion_transformer.py,190,DiffusionTransformer,nn.Module,False,False,True,False,team-gm composition; released signatures/layouts retained
src/foldforge/models/af3/ported/nn/diffusion_transformer.py,243,CrossAttention,nn.Module,False,True,True,False,shared candidate; upstream composition/equation remains
src/foldforge/models/af3/ported/nn/diffusion_transformer.py,321,DiffusionCrossAttTransformer,nn.Module,False,True,True,False,team-gm composition; released signatures/layouts retained
src/foldforge/models/af3/ported/nn/head.py,27,DistogramHead,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/head.py,90,ConfidenceHead,nn.Module,False,True,False,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/pairformer.py,33,PairformerBlock,nn.Module,False,True,True,False,reference only; loader replaces composition with team-gm
src/foldforge/models/af3/ported/nn/pairformer.py,124,EvoformerBlock,nn.Module,False,True,True,False,team-gm composition; released signatures/layouts retained
src/foldforge/models/af3/ported/nn/primitives.py,19,Transition,nn.Module,False,True,True,False,shared candidate; upstream composition/equation remains
src/foldforge/models/af3/ported/nn/primitives.py,37,OuterProductMean,nn.Module,False,True,True,False,team-gm composition; released signatures/layouts retained
src/foldforge/models/af3/ported/nn/template.py,123,TemplateEmbedding,nn.Module,False,True,True,False,team-gm composition; released signatures/layouts retained
src/foldforge/models/af3/ported/nn/template.py,153,SingleTemplateEmbedding,nn.Module,False,True,True,False,model-specific or source utility; retained
src/foldforge/models/af3/ported/nn/triangle_multiplication.py,19,TriangleMultiplication,nn.Module,False,True,False,False,shared candidate; upstream composition/equation remains
src/foldforge/models/af_conditioning.py,61,ReleasedAdaLN,nn.Module,False,True,True,True,terminal model or explicit checkpoint adapter
src/foldforge/models/af_conditioning.py,81,ReleasedConditionedTransition,nn.Module,False,True,True,True,terminal model or explicit checkpoint adapter
src/foldforge/models/af_pairformer.py,22,_Transition,nn.Module,False,True,True,False,terminal model or explicit checkpoint adapter
src/foldforge/models/af_pairformer.py,31,_TriangleMultiplication,nn.Module,False,True,True,False,terminal model or explicit checkpoint adapter
src/foldforge/models/af_pairformer.py,44,_TriangleAttention,nn.Module,False,True,True,False,terminal model or explicit checkpoint adapter
src/foldforge/models/af_pairformer.py,65,_SingleAttention,nn.Module,False,True,True,False,terminal model or explicit checkpoint adapter
